Model,Parameters,PreTraining_Steps,FineTuning_Steps,Min_Eval_Loss,Epochs
pythia,2800000000,8000,64,2.4150121212005615,63.0
pythia,70000000,2000,1,4.153226375579834,155.0
pythia,14000000,16000,128,3.795220375061035,981.0
pythia,1400000000,128000,16,2.468637466430664,34.0
pythia,31000000,2000,1,4.597442626953125,168.0
pythia,160000000,8000,64,2.835111141204834,314.0
pythia,70000000,128000,4,inf,13.0
pythia,2800000000,128000,1,2.7431201934814453,24.0
pythia,1000000000,8000,1,3.181077003479004,36.0
pythia,160000000,16000,2,3.37198543548584,102.0
pythia,410000000,2000,4,3.6511552333831787,59.0
pythia,31000000,8000,128,3.3519692420959473,993.0
pythia,31000000,8000,32,3.560619354248047,976.0
pythia,70000000,4000,64,3.1382648944854736,996.0
pythia,31000000,128000,128,inf,4.0
pythia,2800000000,64000,1,2.8230087757110596,32.0
pythia,70000000,1000,128,3.607243776321411,999.0
pythia,410000000,16000,8,2.940807819366455,76.0
pythia,1000000000,1000,8,3.9589149951934814,48.0
pythia,1400000000,16000,64,2.4209446907043457,81.0
pythia,410000000,1000,1,4.579548358917236,30.0
pythia,160000000,4000,8,3.3653526306152344,141.0
pythia,410000000,2000,32,3.2009387016296387,109.0
pythia,1400000000,128000,8,2.5704805850982666,30.0
pythia,70000000,32000,128,2.874964475631714,791.0
pythia,14000000,64000,128,4.560737609863281,31.0
pythia,14000000,1000,64,5.3529791831970215,1000.0
pythia,14000000,128000,1,inf,19.0
pythia,2800000000,16000,4,2.7756497859954834,35.0
pythia,1000000000,2000,8,3.3786380290985107,55.0
pythia,160000000,64000,16,2.9816529750823975,129.0
pythia,70000000,2000,8,3.836697578430176,354.0
pythia,14000000,2000,8,4.81842041015625,907.0
pythia,70000000,32000,1,3.7248620986938477,138.0
pythia,14000000,64000,32,4.05558443069458,271.0
pythia,31000000,1000,16,4.848569869995117,998.0
pythia,70000000,32000,16,3.3501553535461426,323.0
pythia,1000000000,2000,1,3.6878068447113037,35.0
pythia,1400000000,4000,1,3.3097686767578125,33.0
pythia,160000000,128000,8,inf,10.0
pythia,70000000,64000,16,3.3503668308258057,232.0
pythia,410000000,64000,4,2.8971614837646484,56.0
pythia,31000000,64000,1,4.070701599121094,104.0
pythia,410000000,1000,4,4.401524543762207,43.0
pythia,14000000,1000,4,5.733729362487793,704.0
pythia,14000000,16000,1,4.5207905769348145,135.0
pythia,70000000,64000,64,3.825418472290039,5.0
pythia,160000000,16000,128,2.6280465126037598,390.0
pythia,160000000,32000,32,2.8925986289978027,202.0
pythia,1400000000,64000,4,2.752465009689331,36.0
pythia,2800000000,8000,4,2.8716087341308594,36.0
pythia,2800000000,128000,16,2.4008190631866455,31.0
pythia,14000000,1000,2,5.838779449462891,351.0
pythia,1000000000,64000,8,2.7513256072998047,45.0
pythia,2800000000,64000,4,2.66339111328125,33.0
pythia,70000000,1000,1,4.651049613952637,124.0
pythia,160000000,8000,128,2.668800115585327,439.0
pythia,1000000000,16000,4,2.9334492683410645,53.0
pythia,2800000000,32000,8,2.654021978378296,34.0
pythia,31000000,16000,4,3.941373109817505,254.0
pythia,1000000000,32000,128,2.3278920650482178,115.0
pythia,1000000000,64000,16,2.651805877685547,52.0
pythia,160000000,2000,4,3.7508561611175537,118.0
pythia,70000000,8000,8,3.5628132820129395,266.0
pythia,410000000,4000,4,3.2993807792663574,66.0
pythia,160000000,4000,1,3.652508497238159,68.0
pythia,70000000,64000,8,3.469569683074951,201.0
pythia,160000000,2000,128,2.918349266052246,580.0
pythia,1400000000,2000,16,3.184601068496704,58.0
pythia,1400000000,16000,1,3.019911289215088,40.0
pythia,160000000,64000,8,3.0808684825897217,109.0
pythia,1000000000,2000,4,3.494349718093872,50.0
pythia,14000000,2000,16,4.69929313659668,1000.0
pythia,410000000,16000,4,3.0359153747558594,66.0
pythia,1400000000,64000,64,2.3315892219543457,69.0
pythia,1400000000,32000,4,2.8164937496185303,38.0
pythia,160000000,64000,2,3.286837100982666,71.0
pythia,14000000,16000,4,4.399139404296875,253.0
pythia,31000000,16000,8,3.8480262756347656,309.0
pythia,160000000,2000,2,3.873314380645752,89.0
pythia,410000000,1000,2,4.514767646789551,35.0
pythia,31000000,64000,32,3.5139758586883545,359.0
pythia,2800000000,64000,128,2.1107287406921387,67.0
pythia,2800000000,2000,16,3.1181750297546387,43.0
pythia,410000000,2000,1,3.8419077396392822,38.0
pythia,2800000000,2000,4,3.3856794834136963,34.0
pythia,1400000000,32000,2,2.914130926132202,43.0
pythia,70000000,4000,4,3.7463932037353516,238.0
pythia,14000000,128000,32,inf,8.0
pythia,70000000,32000,4,3.5751235485076904,209.0
pythia,410000000,16000,64,2.5856025218963623,134.0
pythia,70000000,8000,64,3.078050374984741,991.0
pythia,1000000000,8000,128,2.3989861011505127,129.0
pythia,160000000,4000,32,3.0648386478424072,253.0
pythia,410000000,64000,16,2.7217531204223633,72.0
pythia,1400000000,8000,16,2.741353988647461,59.0
pythia,70000000,1000,4,4.4611077308654785,229.0
pythia,70000000,64000,4,3.570568084716797,167.0
pythia,2800000000,8000,2,2.990684986114502,36.0
pythia,410000000,128000,8,2.782177448272705,38.0
pythia,31000000,16000,1,4.092068195343018,140.0
pythia,410000000,32000,2,3.0742976665496826,63.0
pythia,1000000000,16000,32,2.6334116458892822,77.0
pythia,160000000,128000,128,inf,4.0
pythia,1000000000,8000,64,2.5511929988861084,106.0
pythia,410000000,1000,128,3.4789817333221436,164.0
pythia,410000000,64000,2,3.0035436153411865,53.0
pythia,160000000,4000,16,3.2297329902648926,184.0
pythia,1400000000,16000,32,2.538250684738159,68.0
pythia,70000000,1000,32,3.885141611099243,983.0
pythia,14000000,4000,2,4.706784248352051,202.0
pythia,31000000,32000,4,3.9142472743988037,238.0
pythia,2800000000,32000,128,2.1666107177734375,74.0
pythia,70000000,4000,2,3.8700873851776123,180.0
pythia,14000000,32000,32,3.950031042098999,712.0
pythia,14000000,64000,1,4.6351447105407715,38.0
pythia,70000000,8000,32,3.2481350898742676,658.0
